commune;code_insee;code_postal;epci;departement;nombre_de_souscriptions_vae_classique;nombre_de_souscriptions_cargo;nombre_de_souscriptions_jo
JUMEAUVILLE;78580;78325;CU Grand Paris Seine et Oise;78;<5;<5;0
LA CELLE SUR MORIN;77515;77063;CA Coulommiers Pays de Brie;77;<5;0;0
LA GARENNE COLOMBES;92250;92035;EPT Paris Ouest La Défense;92;200;18;<5
LA NORVILLE;91290;91457;CA Cœur d'Essonne Agglomération;91;<5;<5;<5
LAGNY SUR MARNE;77400;77243;CA Marne et Gondoire;77;58;<5;0
LARDY;91510;91330;CC Entre Juine et Renarde (CCEJR);91;6;0;0
LE CHATELET EN BRIE;77820;77100;CC Brie des Rivières et Châteaux;77;<5;<5;0
LE MANS;72100;72181;CU Le Mans Métropole;72;0;0;<5
LE MESNIL ST DENIS;78320;78397;CC de la Haute Vallée de Chevreuse;78;21;0;0
LE PERCHAY;95450;95483;CC Vexin Centre;95;<5;0;0
LE PLESSIS BOUCHARD;95130;95491;CA Val Parisis;95;20;<5;0
LE PORT MARLY;78560;78502;CA Saint-Germain Boucles de Seine;78;12;<5;0
LE PRE ST GERVAIS;93310;93061;EPT Est Ensemble;93;364;15;0
LE TREMBLAY SUR MAULDRE;78490;78623;CC Cœur d'Yvelines;78;<5;0;0
LES BREVIAIRES;78610;78108;CA Rambouillet Territoires;78;<5;0;0
LES CHAPELLES BOURBON;77610;77091;CC Val Briard;77;<5;0;0
LES CLAYES SOUS BOIS;78340;78165;CA de Saint-Quentin-en-Yvelines;78;25;0;<5
LES ULIS;91940;91692;CA Communauté Paris-Saclay;91;49;0;0
LEUVILLE SUR ORGE;91310;91333;CA Cœur d'Essonne Agglomération;91;7;0;0
LEVALLOIS PERRET;92300;92044;EPT Paris Ouest La Défense;92;710;61;15
LONGUESSE;95450;95348;CC Vexin Centre;95;<5;0;0
LONGUEVILLE;77650;77260;CC du Provinois;77;<5;<5;0
MARCOUSSIS;91460;91363;CA Communauté Paris-Saclay;91;16;<5;0
MARGENCY;95580;95369;CA Plaine Vallée;95;11;0;0
MARINES;95640;95370;CC Vexin Centre;95;<5;0;0
MARLY LA VILLE;95670;95371;CA Roissy Pays de France;95;<5;0;0
MAURECOURT;78780;78382;CA de Cergy-Pontoise;78;10;0;0
MERIEL;95630;95392;CC de la Vallée de l'Oise et des Trois Forêts;95;<5;0;0
MERU;60110;60395;CC des Sablons;60;<5;0;0
METZ;57000;57463;Metz Métropole;57;<5;0;0
MITTAINVILLE;78125;78407;CA Rambouillet Territoires;78;<5;0;0
MOGNEVILLE;60140;60404;CC du Liancourtois;60;<5;0;0
MONTEREAU FAULT YONNE;77130;77305;CC Pays de Montereau;77;14;0;<5
MONTFERMEIL;93370;93047;EPT Grand Paris Grand Est;93;45;0;0
MONTFORT L AMAURY;78490;78420;CC Cœur d'Yvelines;78;7;0;0
MONTLIGNON;95680;95426;CA Plaine Vallée;95;15;<5;0
MONTSOULT;95560;95430;CC Carnelle Pays-De-France;95;5;0;0
MORET LOING ET ORVANNE;77250;77316;CC Moret Seine et Loing;77;19;<5;0
NEAUPHLE LE CHATEAU;78640;78442;CC Cœur d'Yvelines;78;12;0;0
NOZAY;91620;91458;CA Communauté Paris-Saclay;91;<5;0;0
OISSERY;77178;77344;CC Plaines et Monts de France;77;<5;0;0
PARIS 07;75007;75107;Paris;75;909;80;17
PARIS 11;75011;75111;Paris;75;3649;232;51
PARIS 13;75013;75113;Paris;75;2354;176;26
PARIS 16;75016;75116;Paris;75;1801;146;29
PARIS 19;75019;75119;Paris;75;4567;212;51
PERIGNY;94520;94056;EPT Grand Paris Sud Est Avenir;94;5;0;0
PIERREFITTE SUR SEINE;93380;93059;EPT Plaine Commune;93;116;<5;0
RENNES;35700;35238;Rennes Métropole;35;<5;0;0
ROCHEFORT EN YVELINES;78730;78522;CA Rambouillet Territoires;78;<5;0;0
ROUVRAY;27120;27501;CA Seine Normandie Agglomération;27;<5;0;0
SAGY;95450;95535;CC Vexin Centre;95;<5;0;0
SANTENY;94440;94070;EPT Grand Paris Sud Est Avenir;94;6;0;0
SAULX MARCHAIS;78650;78588;CC Cœur d'Yvelines;78;<5;0;0
SEPT SORTS;77260;77448;CA Coulommiers Pays de Brie;77;<5;0;0
SEVRAN;93270;93071;EPT Paris Terre d'Envol;93;103;<5;<5
SOUPPES SUR LOING;77460;77458;CC Gâtinais Val de Loing;77;6;0;0
ST GERMAIN DE LA GRANGE;78640;78550;CC Cœur d'Yvelines;78;<5;0;0
ST GERMAIN EN LAYE;78100;78551;CA Saint-Germain Boucles de Seine;78;179;39;<5
ST GERMAIN EN LAYE;78112;78551;CA Saint-Germain Boucles de Seine;78;31;13;0
ST GERMAIN SUR ECOLE;77930;77412;CA du Pays de Fontainebleau;77;<5;0;0
ST LEU LA FORET;95320;95563;CA Val Parisis;95;32;<5;<5
ST MARD;77230;77420;CA Roissy Pays de France;77;<5;0;0
ST MARTIN DE BRETHENCOURT;78660;78564;CA Rambouillet Territoires;78;<5;0;0
ST THIBAULT DES VIGNES;77400;77438;CA Marne et Gondoire;77;14;0;0
TARBES;65000;65440;CA Tarbes-Lourdes-Pyrénées;65;<5;0;0
THIAIS;94320;94073;EPT Grand Orly Val de Bièvre Seine Amont;94;146;7;<5
TORCY;77200;77468;CA Paris - Vallée de la Marne;77;47;0;0
TOULON;83200;83137;Métropole Toulon-Provence-Méditerranée;83;<5;0;0
TOULOUSE;31000;31555;Toulouse Métropole;31;<5;0;0
TOULOUSE;31100;31555;Toulouse Métropole;31;<5;0;<5
TOURS;37100;37261;Tours Métropole Val de Loire;37;<5;0;0
TRAPPES;78190;78621;CA de Saint-Quentin-en-Yvelines;78;41;0;<5
TRILPORT;77470;77475;CA du Pays de Meaux;77;<5;0;0
VALENCE EN BRIE;77830;77480;CC Brie des Rivières et Châteaux;77;<5;0;0
VANNES;56000;56260;CA Golfe du Morbihan - Vannes Agglomération;56;<5;0;0
VAUCRESSON;92420;92076;EPT Paris Ouest La Défense;92;89;9;<5
VAUGRIGNEUSE;91640;91634;CC du Pays de Limours (CCPL);91;<5;0;0
VAUREAL;95490;95637;CA de Cergy-Pontoise;95;30;0;0
VENDREST;77440;77490;CC du Pays de l'Ourcq;77;<5;0;0
VERNEUIL L ETANG;77390;77493;CC Brie Nangissienne;77;<5;0;0
VERNOU LA CELLE SUR SEINE;77670;77494;CC Moret Seine et Loing;77;<5;0;0
VERNOUILLET;78540;78643;CU Grand Paris Seine et Oise;78;15;<5;0
VICQ;78490;78653;CC Cœur d'Yvelines;78;<5;0;0
VIGNEUX SUR SEINE;91270;91657;CA Val d'Yerres Val de Seine;91;57;<5;<5
VILLABE;91100;91659;CA Grand Paris Sud Seine Essonne Sénart;91;6;0;0
VILLE D AVRAY;92410;92077;EPT Grand Paris Seine Ouest;92;181;15;0
VILLECONIN;91580;91662;CC Entre Juine et Renarde (CCEJR);91;<5;0;0
VILLENEUVE LE ROI;94290;94077;EPT Grand Orly Val de Bièvre Seine Amont;94;49;<5;<5
VILLENEUVE ST GEORGES;94190;94078;EPT Grand Orly Val de Bièvre Seine Amont;94;98;0;<5
VILLENEUVE SUR AUVERS;91580;91671;CC Entre Juine et Renarde (CCEJR);91;<5;0;0
VILLENNES SUR SEINE;78670;78672;CU Grand Paris Seine et Oise;78;15;<5;0
VILLEPARISIS;77270;77514;CA Roissy Pays de France;77;29;0;0
VILLEPINTE;93420;93078;EPT Paris Terre d'Envol;93;48;0;0
VILLETANEUSE;93430;93079;EPT Plaine Commune;93;22;0;0
VILLIERS LE BEL;95400;95680;CA Roissy Pays de France;95;37;0;0
VILLIERS SUR MARNE;94350;94079;EPT Paris Est Marne et Bois;94;56;9;0
VIRY CHATILLON;91170;91687;EPT Grand Orly Val de Bièvre Seine Amont;91;54;<5;0
VOULX;77940;77531;CC Pays de Montereau;77;<5;0;0
YERRES;91330;91691;CA Val d'Yerres Val de Seine;91;83;9;<5
ANGERVILLIERS;91470;91017;CC du Pays de Limours (CCPL);91;<5;0;0
ARGENTEUIL;95100;95018;EPT Boucle Nord de Seine;95;477;22;<5
ASNIERES SUR SEINE;92600;92004;EPT Boucle Nord de Seine;92;1133;96;15
AUBERGENVILLE;78410;78029;CU Grand Paris Seine et Oise;78;7;0;0
AUBERVILLIERS;93300;93001;EPT Plaine Commune;93;1122;58;5
BAILLARGUES;34670;34022;Montpellier Méditerranée Métropole;34;<5;0;0
BAILLY;78870;78043;CA Versailles Grand Parc (C.A.V.G.P.);78;18;5;0
BALLAINVILLIERS;91160;91044;CA Communauté Paris-Saclay;91;5;0;0
BEAUVOIR;77390;77029;CC Brie des Rivières et Châteaux;77;<5;0;0
BERCHERES SUR VESGRE;28260;28036;CA Agglo du Pays de Dreux;28;<5;0;0
BOBIGNY;93000;93008;EPT Est Ensemble;93;256;10;<5
BOIS COLOMBES;92270;92009;EPT Boucle Nord de Seine;92;320;35;<5
BOIS LE ROI;77590;77037;CA du Pays de Fontainebleau;77;19;<5;0
BONNEUIL EN FRANCE;95500;95088;CA Roissy Pays de France;95;<5;0;0
BOUGIVAL;78380;78092;CA Versailles Grand Parc (C.A.V.G.P.);78;53;<5;0
BOULEURS;77580;77047;CA Coulommiers Pays de Brie;77;<5;0;0
BRUNOY;91800;91114;CA Val d'Yerres Val de Seine;91;75;<5;0
BRUYERES SUR OISE;95820;95116;CC du Haut Val d'Oise;95;<5;0;0
BUCHELAY;78200;78118;CU Grand Paris Seine et Oise;78;<5;0;0
CHAILLY EN BIERE;77930;77069;CA du Pays de Fontainebleau;77;<5;<5;0
CHAMARANDE;91730;91132;CC Entre Juine et Renarde (CCEJR);91;<5;0;0
CHAMBERY;73000;73065;CA du Grand Chambéry;73;<5;0;0
CHAMIGNY;77260;77078;CA Coulommiers Pays de Brie;77;<5;0;0
CHAMPS SUR MARNE;77420;77083;CA Paris - Vallée de la Marne;77;73;<5;<5
CHANTILLY;60500;60141;CC de l'Aire Cantilienne;60;<5;0;0
CHARENTON LE PONT;94220;94018;EPT Paris Est Marne et Bois;94;299;26;10
CHARNY OREE DE PUISAYE;89120;89086;CC de Puisaye-Forterre;89;<5;0;0
CHAUMES EN BRIE;77390;77107;CC Brie des Rivières et Châteaux;77;<5;<5;0
CHAUSSY;95710;95150;CC du Vexin-Val de Seine;95;0;<5;0
CHAVILLE;92370;92022;EPT Grand Paris Seine Ouest;92;255;38;<5
CLAMART;92140;92023;EPT Vallée Sud Grand Paris;92;973;78;8
